service,listing_index,listing_id,listing_name,listing_address,listing_city_slug,listing_area_slug,listing_business_slug,platform_name,platform_address,platform_city,url,score,name_score,slug_score,address_score,exact_slug_match,second_best_score,gap_to_second,auto_updated,reason
firsttable,2145,8da9a047-82b9-49e8-a18e-8fddbf7ade72,Black Sheep Coffee,"60 Queen's Road, Bristol, BS8 1RE",bristol,bristol-city-centre,black-sheep-coffee,Black Cumin,Cotham Hill,bristol,https://www.firsttable.co.uk/bristol/cotham-hill/black-cumin,64.64,62.5,41.38,14.29,False,,999.0,False,needs review
firsttable,1282,552e38b4-0a3a-4b33-b21f-53465167290e,Parsons,"105 South Liberty Lane, Bristol, BS3 2SZ",bristol,ashton-vale,parsons,Browns,Clifton,bristol,https://www.firsttable.co.uk/bristol/clifton/browns,64.59,61.54,61.54,17.78,False,60.26,4.33,False,needs review
firsttable,527,245d5d1e-91ef-4f88-9a88-b40e542d882a,The Brunel,"315 Saint Johns Lane, Bristol, BS3 5AZ, GB",bristol,bedminster,the-brunel,The Bear & Swan,Chew Magna,bristol,https://www.firsttable.co.uk/bristol/chew-magna/the-bear-and-swan,64.58,60.87,32.0,20.41,False,61.96,2.62,False,needs review
firsttable,899,3ce7094f-4fe5-4a44-b3a5-b1f1160841cb,Eat A Pitta,"St Nicholas Market Glass Arcade, Bristol, BS1 1JQ",bristol,city-centre,eat-a-pitta,Cafe Napolita,St Werburghs,bristol,https://www.firsttable.co.uk/bristol/st-werburghs/cafe-napolita,64.58,58.33,50.0,30.51,False,,999.0,False,needs review
firsttable,102,06315747-136c-482a-a386-680eaa068356,Laila,"168a Church Road, Bristol, BS5 9HX",bristol,redfield,laila,Local.,Bedminster,bristol,https://www.firsttable.co.uk/bristol/bedminster/north-street-standard,64.57,60.0,54.55,23.81,False,61.32,3.25,False,needs review
firsttable,1117,4b3e154c-b392-4eed-bfe5-404784959987,Pizza Master,"266 Lodge Causeway, Bristol, BS16 3RD",bristol,fishponds,pizza-master,PizzaExpress,Harbourside,bristol,https://www.firsttable.co.uk/bristol/harbourside/pizza-express-bristol-harbourside,64.57,41.67,58.33,30.43,False,63.63,0.94,False,needs review
firsttable,1375,5b7bcc5d-4712-40d0-8ec7-a096ec5385b7,The Galley,"133 Hotwell Road, Bristol, BS8 4RU",bristol,hotwells,the-galley,The Malago,Southville,bristol,https://www.firsttable.co.uk/bristol/southville/the-malago,64.57,60.0,30.0,23.81,False,,999.0,False,needs review
firsttable,2171,8f4266f7-8231-436d-b993-357e0529f1c7,Lana Barbers,"133 Gloucester Road, Bristol, BS7 8AX",bristol,montpelier,lana-barbers,Bambalan,Central,bristol,https://www.firsttable.co.uk/bristol/central/bambalan,64.57,60.0,30.0,23.81,False,,999.0,False,needs review
firsttable,1054,4766a008-31fa-45be-ad3c-8e42aa61a518,The Chiropractic Centre,"217B North Street, Bristol, BS3 1JJ, GB",bristol,bedminster,the-chiropractic-centre,"Bristol City Centre breakfast deals
Book a First Table for breakfast and get 50% off the food bill",City Centre,bristol,https://www.firsttable.co.uk/bristol/city-centre/breakfast,64.56,60.61,21.62,21.28,False,64.56,0.0,False,needs review
firsttable,3257,d9d3284c-f35f-486b-85db-d6dfd209c1cf,Domino's,"7-8 Straits Parade, Bristol, BS16 2LA",bristol,fishponds,dominos,Muiño,Cotham Hill,bristol,https://www.firsttable.co.uk/bristol/cotham-hill/muino,64.53,61.54,50.0,17.39,False,64.29,0.24,False,needs review
